Description,0
TMSB10,10.363141128400153
ENO1,10.178264052407304
RPS7,9.249645788310957
MTATP6P1,9.229758203346885
S100A6,9.144890602105342
RPL5,9.09116611320195
RPS27A,9.08764451118605
RPSA,9.086417371682417
RPS27,9.000768792592163
S100A11,8.870081456160449
RPL24,8.758559499691748
RPL9,8.713745836974251
PTMA,8.521643796362182
PRDX1,8.517614085641814
CALM2,8.486574636755066
YBX1,8.470379064868894
RPL14,8.447519905800817
H2AFZ,8.374478890515137
RPS3A,8.307831702672788
HSPD1,8.287985926062772
BTF3,8.277978154622257
RPL29,8.192633430704115
RPS8,8.150474050875955
EEF1B2,8.042783302233325
PSMB4,8.009730183125377
NDUFS5,7.981966361131896
NCL,7.9504523794302
HSPE1,7.858759939568515
ANXA5,7.847414401126373
RPL34,7.845549601254741
RPL35A,7.771780041718377
RPL11,7.751612493563504
CCT7,7.73100276402689
TAGLN2,7.707892827055723
YWHAQ,7.702242275619459
CCT5,7.683702200092955
CNBP,7.667616742055713
RHOA,7.661738852149786
TKT,7.543861783648645
CCT3,7.465841607262079
RPL32,7.345698530939962
ILF2,7.342853450394579
SPP1,7.31326401975721
LAPTM4A,7.272740099845968
EIF3I,7.269502052742221
AP2M1,7.267525177859629
RPL37A,7.266264854520961
RPS23,7.249109265722017
CCT4,7.23786540041955
S100A10,7.226686884894993
PSMD2,7.2060869722304455
RAB7A,7.193333156111915
VDAC1,7.183839196073488
ARF1,7.105213550702632
HDGF,7.091490709591358
RPL31,7.046713450276573
DDOST,7.041005784542548
PDIA6,7.026511605480446
MRFAP1,7.025561021611995
ACTR2,7.00912059922669
DBI,7.006342577405138
MTND2P28,6.998465287027694
EIF4A2,6.940118940625197
TMA7,6.910138826732933
RPL15,6.90975344280616
PPM1G,6.907637384283305
SSR2,6.8930034950564485
PCBP1,6.887650737764877
IMPDH2,6.87431242413279
HMGN2,6.871982445736325
PGD,6.865549850543888
PARK7,6.854453220302884
EIF4G1,6.833646140914635
PRDX6,6.8335551859699315
SEC61A1,6.832760130451433
HINT1,6.8279021835663185
XRCC5,6.7978857203529275
PFDN2,6.770828422488208
PSMD4,6.762599739663975
SF3B14,6.7499992182912765
OST4,6.734190286591381
SRP9,6.728807261455539
HNRNPU,6.688057549395144
RAB1A,6.675068587975524
AUP1,6.639271370463288
CAP1,6.638469701497512
CCNB1,6.623216803343502
RPL22,6.621294353376748
BRK1,6.616832782206035
CSDE1,6.6046103024568765
S100A16,6.559550585610734
ATP1A1,6.552092537189083
RPN1,6.531713088378932
PEA15,6.531468377730296
GPX1,6.518512366481036
LAMC1,6.502007942498903
GNB1,6.495847575626439
NUCKS1,6.4920664217197315
TPM3,6.487559293118856
TOMM20,6.486173380465162
LMNA,6.482483003170706
HNRNPA3,6.4801878956510555
UQCRC1,6.468148565770631
FN1,6.44562532540873
COX7C,6.440392872676225
DHCR24,6.405089474236514
ARF4,6.401105503096853
SDC1,6.392633645865246
SEP15,6.391733816174064
ARPC2,6.38078231081741
C1orf43,6.357141082951166
HDLBP,6.332251331934483
HMGB2,6.310515050140118
SEPT2,6.305731029863622
CDC20,6.302925415493948
SNRPE,6.276341323283783
SPCS1,6.275338443637011
COX5B,6.273770847741022
MAT2A,6.268498714427906
PAICS,6.251204535940512
SLC39A1,6.223417855694884
MRPL33,6.216447033133782
MMADHC,6.192684270096801
JTB,6.186236359519206
PLOD1,6.182516771213937
MRPL3,6.1777196746434315
HNRNPD,6.161469718099046
PLK2,6.148761119520739
ATP1B3,6.143530057923876
GAS5,6.127066214666762
ATP5I,6.124976708156175
UQCRH,6.116119705034333
SDF4,6.107243166779283
ARPC5,6.1057711670585775
RTN4,6.099113486423053
TFRC,6.098972239021333
PSMD14,6.083905170828301
COPA,6.074440239502679
CYR61,6.070572989634205
SNRNP200,6.059102566881948
DDX1,6.055234902049487
IARS2,6.046656664149193
AAMP,6.030657761211401
MDH1,6.021927909242177
SDHA,6.010957986257054
TGFBI,6.010676172230608
CDC42,6.004423528345138
SUMO1,6.001970889343972
RAB10,5.968843093034676
ATRAID,5.965341992715355
NSA2,5.964519433355986
SSR3,5.959509581233335
ATIC,5.950158905748172
DHX9,5.949741902837535
DEGS1,5.941697873508492
CLPTM1L,5.9351210285088
NUDC,5.932775717112961
COPG1,5.9317730759611385
BZW1,5.929873024558958
HAX1,5.929324692763642
AGRN,5.923412903981877
HADHA,5.921056289217236
MCL1,5.918303213313155
ADIPOR1,5.913976007772145
CTNNB1,5.9089570327146035
STARD7,5.905785465296336
IDH1,5.903715764035689
