CellLine,Response,RELA,IRF3,DDX41,FADD,IKBKG,DDX19A,TRAF3,IKBKB,POLR3C,TRIM25,POLR3E,TYK2,CXCL8,IFNGR2,STING1,CGAS,TBK1,STAT1,NFKB1,IFNAR1,MAP3K7,IKBKE,TRIM4,JAK1,RIPK1,ZBP1,TRAM1,TLR3,TICAM1,IFNGR1,IFI16,JAK2,TRAF6,RIGI,POLR3F,POLR3A,AIM2,DHX58,CHUK,TLR7,IFIH1,TLR9,IRF7,IFNAR2,TLR4,TLR8,IFNB1,MAVS,STAT2,PRKDC
SUIT2,Responder,0.8530769442312325,0.6809854614364976,0.7040832854949945,0.6305624702556021,0.7325484102900592,0.7751857237504649,0.7717642743443123,0.7212425563865601,0.19601185409894484,0.9764725646595385,0.5757231306602311,0.28562042542365695,0.5531571857464802,0.5511339852582529,0.8522904624414865,0.8233051292096639,0.798886949516028,0.6246321444702356,0.8371180807465599,0.6201462665388688,0.4057944164547944,0.5136421851670487,0.6367274969855392,0.716107800356514,0.6005144981835571,0.0,0.7907985081846398,0.9868006787799243,0.8694513111041483,0.816619247281331,0.7629360458720607,0.6996455782673485,0.43258421328974395,0.41012252837451957,0.338667000507038,0.4915055981291325,0.0546865991840936,0.7940178073360259,0.7917506780589072,0.0,0.4986690957831576,0.02944400030914273,0.7065919328410709,0.7975998546627387,0.7887827499921037,0.0,0.0,0.4059108691975819,0.4909746105472652,0.846371825021353
HCC15,Responder,0.8494900396824656,0.7605384813823832,0.81471017065238,0.5421703454426618,0.8452374989378759,0.9020217191168491,0.7242307861000747,0.5069089885338824,0.5176080884370022,0.7043245539481839,0.9785345111154093,0.2901714312042931,0.8488231591183134,0.6459631500793388,0.882120715391854,0.9986087459940942,1.0,0.8123408761087341,0.28995906516909065,0.9122761541616815,0.7013330778683309,0.6307192965256676,0.8058509693191926,0.5493428466823969,0.8105632184785336,0.32090654436356464,0.744710167101855,0.3690923047512296,0.7344204123298299,0.9323608837106769,0.908737245401853,0.6895633168400244,0.5347602042595703,0.6276717664621113,0.6293803900607391,0.7221015458027069,0.039988030512969924,0.5946401521676454,0.9556946754339468,0.0,0.8783021174833834,0.03878289549901517,0.7749049506418022,0.6492367953062179,0.024926107889346787,0.0,0.1642537280998102,0.34104663274141434,0.8310921263303537,0.9872620348460339
A2058,Responder,0.6084627266673532,0.43772487640663904,0.771849084735603,0.614261031515025,0.6968335446449125,0.8591557892242632,0.7787904110650912,0.6290077444976108,0.5333632059496214,0.7090000980845268,0.8563669132348579,0.3389937896174504,0.9480063051179997,0.8813729517985807,0.7490958968605521,0.8880934030962224,0.7596683188767948,0.6183712606652769,1.0,0.7394861340808516,0.5787974420730477,0.8737872581214408,0.9443730894157805,0.25344602736803434,0.9558983033117494,0.042946401855348884,0.7072246595658416,0.7383023282424105,0.8846658003071397,0.4651004092500337,0.9999999999999999,0.6539254453274652,0.4180560599078529,0.46441639058360074,0.7945726798684434,0.5703138788577462,0.07552441120243267,0.7197190244379843,0.7163960949645527,0.010411498391486371,0.6375118700245792,0.010063136527621697,0.5738504168263101,0.7733356390179815,0.8600627680156657,0.0,0.0,0.6673448407033562,0.4576761357804715,0.9874318994182154
TE5,Responder,0.7601577036274421,0.7918416102876797,0.504645626548716,0.43251155926567253,0.38364129410156655,0.5750280201294582,0.10734655250320868,0.5733086867556789,0.28680368807830625,0.7710411363312772,0.7400327386813359,0.5577854776671267,0.792803323101604,0.14372823432608017,0.7889801841325876,0.8612667309332144,0.5132927388434543,0.7957859470941531,0.40443035700645114,0.0,0.5004510788195518,0.7311780548817997,0.737716226630541,0.2045706236936411,0.44504138457094333,0.02639877105713382,0.6835102071950803,0.9979322831096444,0.7854758089460223,0.7288947739289651,0.9649843076393104,0.4979320641912202,0.4027886740097135,0.7716946335943173,0.26212876525342876,0.05722205449019091,0.1134090906743683,0.8698653496471632,0.1726904751055165,0.02056216008859877,0.8680720584560394,0.04790048244172893,0.05271085918102336,0.22670605646791087,0.32090214401562456,0.0,0.3168920168813446,0.35215662265726255,1.0,0.0
PANC1,Responder,0.971678761291157,0.6459422184340715,0.7788051518599772,0.6247588853749979,1.0,0.6062645287621868,1.0,0.2712745122922673,0.7125067297477012,0.8417036461516649,0.7266502301739033,0.39390351923517697,0.43289916114642296,0.5983553068871164,0.6441276293172589,1.0,0.9064001337997389,0.8299386776167654,0.6489005438425979,0.5805931274775844,0.7134502319302305,0.5108344985575592,0.6609652665064323,0.7930153257831987,1.0,0.06635865185910411,0.5535454444682912,0.1962808548645314,0.8620127508393887,0.5867850978690028,0.14400271052511873,0.42007805461246106,0.5149414620732025,0.8164535349014961,0.7686344667073151,0.6616093577254807,0.0,0.7152120649951653,0.831001552974231,0.0,0.7651949789305903,0.0,0.853435605851678,0.5008195431253251,0.10892398463444143,0.0,0.26721344709368233,0.5344505618028377,0.18744262538801637,0.9045947175647218
SKHEP1,Responder,0.6969189059951768,0.39241182458316803,0.6882934952039985,0.48438100155761776,0.6528077402746537,0.6477041960903791,0.7188129658052311,0.7906143918271482,0.4707017878289359,0.8966642898461994,0.3355979885821814,0.20229049034805469,0.8243017267939045,0.6322787582987668,0.5109524064337129,0.7467512071377866,0.738516011177051,0.6455273341360648,0.5674821310019187,0.4597205061169545,0.28863140648284435,0.634436591377517,0.6725929118411462,0.5790172123600201,0.7432336052116306,0.0,0.5085565990368606,0.2787517781969537,0.889068478528307,0.3576058025059041,0.8350219441894756,0.6458693068456427,0.44254318687378813,0.493148976639175,0.6371800621462982,0.3853250183231798,0.039988030512969924,0.9382337294986535,0.46352736037715614,0.0,0.7114831200610687,0.0,0.5919681048776906,0.5773425840402693,0.00851904714573847,0.0,0.3168920168813446,0.42036028819059723,0.49393143981278653,0.6547650149215549
HARA,Responder,0.5633579577425456,0.6330772887289164,0.8188964550033679,0.6256382200222299,0.6442553432365745,0.8867518549839666,0.7791571505166464,0.6440730371769647,0.5087018952707036,0.8402044331290237,0.9033226275397963,0.5877525241170432,0.7944360600927136,0.4076788168592378,0.7509429634636041,0.9397737252028766,0.8187300944554039,0.6859461385482384,0.9746932822918835,0.49336356387945246,0.5073499779432602,0.6534828676402142,0.5742324390452291,0.3140958184640086,0.4533067757508342,0.0,0.5752052299609467,0.9003768137917065,0.8434400991586848,0.5418290689301644,0.892852063763014,0.41699872009904426,1.0,0.47540350075577953,1.0,0.7200908381265712,0.03237653421304384,0.7921501737814578,0.9084238431687384,0.0,0.6452949776965358,0.10622684624296458,0.5494944505082803,0.26995374314859455,0.016824668710147796,0.0,0.6351732806609733,0.7779558520844474,0.4490056686369708,0.0
COV434,Non-responder,0.23739383245079093,0.19756225057227272,0.5271978465191545,0.2902363367161971,0.48612656545604205,0.8358765837450344,0.28733299146057734,0.4391039516156643,0.1050613249509138,0.5701368968026652,0.5111571347410155,0.1781041740818612,0.4190200510259644,0.30320650779383707,0.04548959033786866,0.051663118078346164,0.5134426749114689,0.9999999999999998,0.37732690579114436,0.4950569834683174,0.9999999999999996,0.0,0.49105314431547487,0.32925923673640023,0.522330986103118,0.008207963827573276,0.49949427917785805,0.08386386666498434,0.7300529086821801,0.2915834415569456,0.12909750504734321,0.6862074918539434,0.37221390378078967,0.477537386451088,0.7762361419088797,0.45958244417928595,0.029512677985749684,0.7432161579063699,0.6177791293008235,0.01871894299546086,0.8388123320624045,0.04369053980969746,0.04536123482763599,0.5844172721504237,0.06371875346751875,0.3104879095057609,0.0,0.38039126434440096,0.5666959535915135,0.5402694752696293
HUH7,Non-responder,0.15180115823547702,0.5806124307835088,0.5495256078834334,0.45069301623840574,0.1102195697539492,0.7117425794345511,0.5316172169274833,0.3644061696548131,0.21551173969793247,0.0,0.4580379190581203,0.3985481025822111,0.8191087796296864,0.1589159750224587,0.24966737478226647,0.36163209849553446,0.43957686510519256,0.6419138236914701,0.3290579253529584,0.13260112094607912,0.5136573897507191,0.5089812249058518,0.5065392475660555,0.4067156226413777,0.4916192093216929,0.0,0.708753516051134,0.16024291564098092,0.7509971631618776,0.6477276273618442,0.18311524582213284,0.501180197327123,0.27682862546693765,0.414566028380441,0.774455688207297,0.5191830052234292,0.0,0.0,0.561546806044043,0.0,0.2393525904017141,0.04369053980969746,0.19066453093001837,0.7240024967038461,0.0762589959835157,0.0,0.0,0.7204622981065163,0.42829032000664835,0.6368982716587119
CAL27,Non-responder,0.6544116255918571,0.5973676203940066,0.22655841925456688,0.4236364725919237,0.258983936481759,0.3878464049929744,0.4784682230684143,0.19095633988134209,0.29269698730503313,0.828980808027008,0.30670649741524336,0.14725569103978753,0.9147377557180314,0.6183182261268008,0.7246804005617735,0.9110769821289119,0.6575358940532321,0.9764568322972946,0.5274888325952416,0.5619242267573727,0.28845712730683815,0.9378254769243419,0.4341183129411006,0.433578595352782,0.5834776326964932,0.6729125182477594,0.5659075577544153,1.0,0.834549280062273,0.955125515398435,0.9636174204372595,0.751556697999634,0.8637930625231887,1.0,0.35733174942548285,0.2755120567107716,1.0,1.0,0.4977655969373358,0.009471710366036003,0.9999999999999999,0.01809261951863954,0.8869076946801778,0.38949129676585903,0.022706729177015803,0.0,1.0,0.5654032466640735,0.9731204830854852,0.4383131972059786
