Cell Line Name,CGAS,DDX19A,IFIH1,IKBKE,MAVS,PLAAT4,RIGI,STING1,TBK1,TRAF3,TRAF6
A375,0.1285691521967709,6.105624549193878,1.1214797274104518,3.027896453728821,4.319555769166913,1.0107326619029127,0.7870606883398922,4.839308070860385,5.285073637876762,3.565974464504069,2.022197848396367
ASPC1,3.0240998856407417,3.820278465233327,3.160047383669939,3.742701571833233,4.621678951603199,6.587518506065783,4.162639828286463,6.4582555867051274,4.569234793667656,2.979705766282288,2.9972404255747995
COLO201,3.3403143293337103,4.996271848807375,3.5672794804599826,4.308673319629471,5.559431618637297,2.230930869826449,4.270726276131551,3.826831217032493,4.9708578643637615,3.478511623,3.3403143293337103
COV434,0.2110313123887439,6.202028179367314,4.2160319934471095,0.5114262457264649,3.7064422281316083,1.8004397181410923,2.052333566369686,0.42192809488736227,4.746162657157893,3.271527106038814,2.214367025
CHAGOK1,2.4617683594191533,5.728481994383898,1.9196681834964562,0.5114262457264649,4.702290585,2.7415460290875235,0.7135316529179271,1.8739963251111733,4.305548911173033,2.6993177936982264,1.1772429989324606
G401,0.1976107966264223,6.192334311186202,0.1426443374084937,3.050468414150123,4.0040023162836915,0.2890338243900171,2.3600256559614556,4.4722556484457865,5.574436043252265,4.475734538583156,2.1976107966264222
HCC15,4.548900951145128,5.859422185696328,4.203497639703336,2.5195388915137844,3.289033824390017,3.4701642805402098,2.6185351389821805,6.139357765159701,5.642567607764219,3.936934011321092,2.569885976274464
HCT116,0.2110313123887439,6.157016965365538,2.5982508675278253,1.8268312170324932,4.926802684285827,0.1,2.5905701304462014,2.917623257511431,5.763059923747817,4.585426827170242,2.7415460290875235
HUH1,0.15658352836636752,5.137821465434967,2.572487771462744,2.7576400052078243,3.571187460386985,2.7667565918848043,1.7825732973475785,0.5541758931858022,5.441630009329911,2.7415460290875235,1.5329594072761066
KMS26,3.382439805006387,5.305939832470884,5.130777471992541,3.012649864897204,4.243230134776892,6.500879436282184,0.4561438102252753,2.1356239097307212,4.841466986401146,4.103602236680195,2.732268215499513
LMSU,4.451204277257994,5.674404309022579,1.955989697308481,4.269123281476757,3.7028844087184183,1.9196681834964562,1.8739963251111733,4.760495131888513,4.948998430400023,4.732268215499513,3.5646682670034444
LS411N,0.2890338243900171,4.874523529590232,1.650900664647523,2.458958825832329,4.041106310946431,2.9094144442358987,1.197610796626422,3.0597701552114676,5.299672344836364,3.6631581304028082,2.495062799517578
LI7,0.1426443374084937,5.045326777264626,2.0745293124838815,3.0690123075163163,4.489566811762725,4.6478199565777025,1.8782085763980876,3.562052318796433,5.416869805064333,3.7564963705534953,2.458958825832329
MKN45,4.457552004618083,5.6795422249369025,3.3357270598380584,2.9379432418910283,3.9001233528265282,0.5541758931858022,1.4504972470841333,1.1772429989324606,5.159614856297222,4.208524456778169,2.481283372503784
NUGC3,4.403050084681673,4.7040713236688605,3.770160514126634,4.474343989,3.3357270598380584,3.3172307162206693,3.261887682376894,3.4219280948873623,5.052333566369685,3.612226886513957,2.4074285251922483
PANC0403,3.3433644256936605,4.471558862611962,3.852748591407134,3.994332742277694,2.837686761,5.632940288372874,3.346408087246385,3.3265085298086796,4.973321062914816,3.190853430451113,2.211031312388744
SCC25,3.622306892871389,4.512104044677569,4.371276259175925,2.861285273361619,2.9875252707415876,3.4291235962915665,3.4015876466031867,4.683759753639499,3.5356285940520906,3.7758159311722697,1.995302621333307
SUDHL10,1.8990873060740037,4.626694845541976,2.1356239097307212,4.357010618206024,3.7403895600549455,2.9439838440483266,1.2110313123887442,0.3016338611696504,4.329587922740652,2.9439838440483266,2.4219280948873623
SUDHL4,0.7135316529179271,4.325737653466059,0.1976107966264223,4.497802961862489,3.7028844087184183,0.4561438102252753,0.7415460290875237,0.36303440583379376,4.318006150284426,3.139138393906958,2.1250287944915227
SUM159PT,3.321877081077034,4.589286022625876,2.734593268445757,1.0030382701129121,3.7667565918848034,1.6655971758542252,1.505992359675837,0.9718436485093178,4.674707046415546,3.7599245584023775,1.9439838440483266
SW1573,4.478511623,5.481975478557301,1.9519988371124466,1.5168397419128292,4.541616269406558,1.8004397181410923,1.276322772640463,1.6360529002402098,5.975042803002589,5.082765462583645,3.9747969658986655
SW620,0.18406426478847449,6.795158678475356,2.3265085298086796,3.375007047,4.559431618637297,0.1426443374084937,1.244046369616707,2.8591558338002723,4.484740587292384,3.496433531250992,2.500537929583729
WILL1,2.7415460290875235,5.3532329385380315,3.230930869826449,3.0945797242157482,3.490942772802543,4.479205059960609,2.7667565918848043,3.6298209465286955,5.165227622775618,3.776944359106912,2.6160151470036648
,#NAME?,,,,,,,,,,
