,Gene,log2FC,p-value
5529,HS1BP3,0.5314824268369771,0.1065155089880246
10765,RP11-572C15.6,0.5302260862585502,0.20547240557720378
11943,PSMD2,0.530007601973951,0.21787236002618066
1646,DHCR24,0.5297074500761685,0.35499355835145957
7505,AC131180.3,0.5294974636410286,0.35531969236952093
9547,RARB,0.5290001726368448,0.47281976228019684
10472,GBE1,0.5273477947881786,0.24764032668881195
2271,SNX7,0.5266756869546794,0.10206283300811769
2257,DPYD,0.5259709380832895,0.32221678441492335
14413,RP11-234O6.2,0.5244614111454019,0.37865670295218684
9012,USP40,0.5233278772562877,0.023324781989029895
12602,FGFBP1,0.5231875446195218,0.6684442470848763
15799,ARHGEF28,0.5228156230585665,0.2394957503129709
8750,CDK5R2,0.5225898215895332,0.242406834191195
13353,SCARB2,0.5222082352673265,0.26656132648696934
329,PGD,0.522188550047681,0.40809017708369955
2117,LRRC8D,0.5218279650264406,0.20220375591628514
12596,FAM200B,0.5214750884277226,0.028227502097557432
9693,MLH1,0.519161928009586,0.1845696503918659
190,TP73-AS1,0.5188769706942016,0.30750155737739604
13838,ANK2,0.5172213987735783,0.104032626453965
10810,RP11-553L6.5,0.517215828065293,0.3266706812023523
11769,NLGN1,0.516606565771732,0.1758756441973866
1304,WDR65,0.5156777636835548,0.17247778227663854
7148,NPHP1,0.5150218215772857,0.13327677042839686
3113,LCE3D,0.5140294381719137,0.19248962192910626
5600,RP11-509E16.1,0.5131093127531983,0.43441805781827103
4087,RP11-463J7.2,0.5121312107338083,0.3695873959997685
11562,C3orf55,0.5115913802120993,0.2641595419030377
6190,TMEM17,0.5109893980091951,0.0075666638743815615
